iter	Passed	Remaining
256	3697	10689
257	3710	10672
258	3723	10654
259	3738	10639
260	3751	10622
261	3778	10642
262	3791	10624
263	3805	10608
264	3825	10609
265	3839	10593
266	3852	10575
267	3866	10559
268	3880	10544
269	3894	10528
270	3907	10511
271	3922	10498
272	3935	10480
273	3951	10468
274	3965	10453
275	3978	10437
276	3992	10422
277	4012	10420
278	4025	10402
279	4049	10413
280	4062	10395
281	4075	10377
282	4089	10360
283	4104	10348
284	4117	10330
285	4130	10311
286	4143	10293
287	4156	10277
288	4169	10258
289	4187	10252
290	4201	10236
291	4215	10220
292	4228	10202
293	4241	10184
294	4253	10166
295	4266	10148
296	4279	10130
297	4292	10112
298	4305	10094
299	4318	10076
300	4331	10058
301	4344	10040
302	4357	10022
303	4376	10020
304	4404	10035
305	4436	10061
306	4452	10050
307	4468	10039
308	4483	10027
309	4496	10008
310	4510	9991
311	4525	9980
312	4539	9964
313	4557	9957
314	4573	9944
315	4588	9931
316	4602	9916
317	4616	9899
318	4629	9883
319	4643	9867
320	4656	9848
321	4680	9855
322	4693	9837
323	4707	9820
324	4720	9803
325	4737	9794
326	4752	9781
327	4767	9768
328	4784	9757
329	4801	9748
330	4815	9732
331	4829	9717
332	4844	9703
333	4858	9688
334	4873	9673
335	4886	9656
336	4900	9640
337	4914	9624
338	4930	9614
339	4945	9599
340	4959	9585
341	4973	9569
342	4987	9553
343	5016	9566
344	5029	9549
345	5043	9533
346	5058	9518
347	5071	9502
348	5085	9485
349	5099	9471
350	5114	9457
351	5127	9440
352	5141	9423
353	5155	9407
354	5169	9391
355	5183	9376
356	5197	9360
357	5211	9345
358	5225	9329
359	5238	9313
360	5252	9297
361	5277	9301
362	5309	9316
363	5322	9299
364	5335	9281
365	5348	9265
366	5361	9247
367	5374	9230
368	5390	9217
369	5404	9202
370	5418	9185
371	5432	9170
372	5446	9154
373	5465	9148
374	5489	9148
375	5516	9155
376	5538	9152
377	5567	9160
378	5587	9155
379	5629	9185
380	5650	9179
381	5689	9204
382	5703	9188
383	5717	9171
384	5731	9155
385	5745	9139
386	5759	9122
387	5772	9105
388	5785	9088
389	5802	9075
390	5816	9059
391	5831	9044
392	5845	9027
393	5861	9014
394	5887	9017
395	5903	9004
396	5918	8989
397	5931	8972
398	5946	8957
399	5959	8939
400	5972	8921
401	5986	8904
402	5999	8887
403	6012	8869
404	6025	8851
405	6042	8841
406	6058	8826
407	6071	8810
408	6086	8794
409	6100	8778
410	6114	8763
411	6129	8748
412	6143	8731
413	6163	8724
414	6194	8731
415	6208	8715
416	6223	8700
417	6241	8690
418	6255	8673
419	6271	8660
420	6284	8643
421	6298	8626
422	6314	8613
423	6328	8597
424	6342	8581
425	6362	8573
426	6376	8556
427	6389	8539
428	6408	8529
429	6421	8512
430	6434	8495
431	6448	8478
432	6461	8460
433	6474	8443
434	6487	8426
435	6500	8409
436	6517	8396
437	6536	8386
438	6552	8373
439	6566	8357
440	6581	8342
441	6598	8330
442	6611	8313
443	6625	8297
444	6639	8281
445	6653	8264
446	6667	8248
447	6681	8232
448	6695	8217
449	6709	8200
450	6733	8196
451	6746	8179
452	6764	8168
453	6780	8153
454	6795	8139
455	6812	8127
456	6825	8110
457	6838	8093
458	6852	8076
459	6868	8062
460	6885	8051
461	6903	8038
462	6921	8027
463	6939	8016
464	6966	8014
465	6989	8009
466	7013	8004
467	7031	7993
468	7051	7983
469	7070	7973
470	7103	7978
471	7119	7964
472	7134	7949
473	7150	7934
474	7168	7923
475	7194	7919
476	7210	7906
477	7224	7889
478	7238	7873
479	7252	7857
480	7271	7846
481	7285	7830
482	7299	7813
483	7313	7797
484	7329	7782
485	7347	7771
486	7362	7755
487	7376	7739
488	7390	7722
489	7403	7705
490	7416	7688
491	7429	7671
492	7443	7654
493	7456	7637
494	7469	7619
495	7482	7603
496	7495	7586
497	7516	7576
498	7533	7563
499	7563	7563
500	7576	7546
501	7589	7528
502	7602	7511
503	7614	7494
504	7627	7476
505	7640	7459
506	7653	7442
507	7666	7425
508	7679	7408
509	7699	7397
510	7717	7385
511	7730	7368
512	7744	7351
513	7757	7334
514	7771	7318
515	7787	7304
516	7800	7287
517	7813	7270
518	7827	7254
519	7839	7236
520	7853	7220
521	7874	7210
522	7902	7207
523	7916	7191
524	7930	7175
525	7943	7158
526	7957	7141
527	7969	7124
528	7991	7115
529	8004	7098
530	8017	7081
531	8031	7064
532	8043	7047
533	8063	7037
534	8079	7022
535	8093	7006
536	8107	6990
537	8121	6973
538	8134	6957
539	8147	6940
540	8160	6923
541	8173	6906
542	8186	6890
543	8200	6873
544	8213	6857
545	8226	6840
546	8269	6848
547	8283	6832
548	8299	6817
549	8312	6801
550	8326	6785
551	8340	6769
552	8354	6752
553	8367	6736
554	8380	6719
555	8393	6702
556	8406	6685
557	8424	6673
558	8437	6656
559	8465	6651
560	8478	6634
561	8491	6617
562	8504	6600
563	8516	6584
564	8533	6569
565	8549	6555
566	8565	6540
567	8578	6524
568	8591	6507
569	8604	6490
570	8617	6474
571	8630	6457
572	8643	6441
573	8657	6425
574	8670	6408
575	8686	6394
576	8700	6378
577	8714	6362
578	8727	6345
579	8740	6329
580	8759	6316
581	8777	6304
582	8790	6287
583	8805	6272
584	8820	6257
585	8834	6241
586	8848	6225
587	8863	6210
588	8877	6194
589	8891	6178
590	8904	6162
591	8918	6146
592	8937	6134
593	8956	6121
594	8973	6107
595	8989	6093
596	9003	6077
597	9016	6061
598	9030	6045
599	9043	6028
600	9072	6023
601	9086	6007
602	9098	5990
603	9113	5974
604	9129	5960
605	9147	5947
606	9160	5931
607	9179	5918
608	9193	5902
609	9206	5886
610	9219	5869
611	9232	5853
612	9245	5836
613	9272	5829
614	9285	5812
615	9298	5796
616	9311	5780
617	9324	5763
618	9337	5747
619	9350	5730
620	9363	5714
621	9376	5698
622	9390	5682
623	9404	5667
624	9419	5651
625	9433	5635
626	9449	5621
627	9468	5608
628	9486	5595
629	9503	5581
630	9518	5566
631	9533	5550
632	9553	5538
633	9568	5523
634	9581	5507
635	9595	5491
636	9608	5475
637	9621	5459
638	9639	5445
639	9655	5431
640	9668	5415
641	9692	5404
642	9704	5388
643	9717	5371
644	9730	5355
645	9743	5339
646	9757	5323
647	9772	5308
648	9792	5295
649	9811	5283
650	9830	5270
651	9856	5261
652	9894	5257
653	9918	5247
654	9939	5235
655	9961	5223
656	9984	5212
657	10004	5200
658	10031	5190
659	10046	5175
660	10059	5159
661	10072	5142
662	10085	5126
663	10098	5110
664	10111	5093
665	10123	5077
666	10136	5060
667	10155	5047
668	10168	5031
669	10181	5014
670	10199	5000
671	10214	4985
672	10228	4969
673	10244	4954
674	10257	4938
675	10270	4922
676	10283	4906
677	10296	4890
678	10310	4874
679	10323	4858
680	10336	4841
681	10349	4825
682	10362	4809
683	10381	4796
684	10400	4782
685	10415	4767
686	10428	4751
687	10441	4735
688	10454	4719
689	10467	4702
690	10480	4686
691	10493	4670
692	10505	4654
693	10518	4637
694	10531	4621
695	10544	4605
696	10562	4591
697	10575	4575
698	10589	4559
699	10602	4543
700	10615	4527
701	10627	4511
702	10645	4497
703	10658	4481
704	10671	4465
705	10684	4449
706	10698	4433
707	10711	4417
708	10724	4401
709	10742	4387
710	10761	4374
711	10776	4359
712	10790	4343
713	10803	4327
714	10816	4311
715	10830	4295
716	10843	4280
717	10856	4263
718	10875	4250
719	10890	4235
720	10906	4220
721	10926	4206
722	10941	4191
723	10958	4177
724	10976	4163
725	11014	4156
726	11032	4142
727	11053	4129
728	11073	4116
729	11109	4109
730	11129	4095
731	11148	4081
732	11163	4066
733	11190	4055
734	11203	4039
735	11216	4023
736	11229	4007
737	11242	3991
738	11258	3976
739	11280	3963
740	11295	3947
741	11313	3933
742	11330	3919
743	11346	3904
744	11360	3888
745	11386	3876
746	11399	3860
747	11414	3845
748	11431	3830
749	11445	3815
750	11460	3799
751	11474	3784
752	11495	3770
753	11510	3755
754	11524	3739
755	11538	3724
756	11551	3708
757	11565	3692
758	11578	3676
759	11592	3660
760	11606	3645
761	11619	3629
762	11633	3613
763	11647	3597
764	11662	3582
765	11680	3568
766	11694	3552
767	11708	3536
768	11721	3520
769	11734	3505
770	11749	3489
771	11763	3474
772	11785	3461
773	11800	3445
774	11813	3429
775	11829	3414
776	11849	3400
777	11869	3386
778	11886	3372
779	11906	3358
780	11929	3345
781	11952	3332
782	11970	3317
783	11996	3305
784	12019	3292
785	12040	3278
786	12071	3267
787	12090	3252
788	12108	3238
789	12123	3222
790	12140	3207
791	12154	3192
792	12169	3176
793	12183	3160
794	12204	3146
795	12222	3132
796	12236	3116
797	12249	3100
798	12264	3085
799	12281	3070
800	12310	3058
801	12328	3043
802	12345	3028
803	12360	3013
804	12377	2998
805	12395	2983
806	12416	2969
807	12436	2955
808	12455	2940
809	12470	2925
810	12494	2911
811	12510	2896
812	12524	2880
813	12537	2864
814	12550	2848
815	12565	2833
816	12582	2818
817	12598	2803
818	12617	2788
819	12630	2772
820	12644	2756
821	12658	2741
822	12672	2725
823	12687	2709
824	12701	2694
825	12715	2678
826	12728	2662
827	12756	2649
828	12773	2634
829	12802	2622
830	12815	2606
831	12829	2590
832	12842	2574
833	12862	2560
834	12884	2545
835	12897	2530
836	12911	2514
837	12926	2498
838	12943	2483
839	12963	2469
840	12977	2453
841	12991	2437
842	13003	2421
843	13017	2406
844	13033	2390
845	13047	2375
846	13061	2359
847	13076	2343
848	13090	2328
849	13105	2312
850	13118	2296
851	13135	2281
852	13148	2265
853	13163	2250
854	13176	2234
855	13190	2219
856	13204	2203
857	13217	2187
858	13231	2171
859	13244	2156
860	13258	2140
861	13272	2124
862	13286	2109
863	13301	2093
864	13321	2079
865	13335	2063
866	13349	2047
867	13365	2032
868	13391	2018
869	13408	2003
870	13426	1988
871	13443	1973
872	13462	1958
873	13484	1944
874	13516	1930
875	13533	1915
876	13552	1900
877	13568	1885
878	13586	1870
879	13603	1855
880	13632	1841
881	13647	1825
882	13661	1810
883	13675	1794
884	13696	1779
885	13724	1765
886	13737	1750
887	13751	1734
888	13764	1718
889	13777	1702
890	13791	1687
891	13805	1671
892	13819	1655
893	13833	1640
894	13846	1624
895	13860	1608
896	13877	1593
897	13893	1578
898	13907	1562
899	13922	1546
900	13936	1531
901	13951	1515
902	13968	1500
903	13984	1485
904	13998	1469
905	14011	1453
906	14024	1438
907	14037	1422
908	14058	1407
909	14071	1391
910	14085	1376
911	14098	1360
912	14120	1345
913	14133	1329
914	14147	1314
915	14161	1298
916	14174	1283
917	14188	1267
918	14202	1251
919	14215	1236
920	14234	1220
921	14248	1205
922	14275	1190
923	14290	1175
924	14306	1160
925	14320	1144
926	14334	1128
927	14348	1113
928	14361	1097
929	14375	1082
930	14390	1066
931	14403	1050
932	14418	1035
933	14435	1020
934	14450	1004
935	14464	988
936	14476	973
937	14490	957
938	14504	942
939	14517	926
940	14531	911
941	14544	895
942	14557	879
943	14570	864
944	14584	848
945	14600	833
946	14617	818
947	14631	802
948	14645	787
949	14658	771
950	14671	755
951	14684	740
952	14697	724
953	14710	709
954	14723	693
955	14735	678
956	14748	662
957	14762	647
958	14779	631
959	14799	616
960	14813	601
961	14829	585
962	14843	570
963	14857	554
964	14871	539
965	14884	523
966	14898	508
967	14912	492
968	14925	477
969	14939	462
970	14952	446
971	14986	431
972	15000	416
973	15014	400
974	15027	385
975	15039	369
976	15052	354
977	15066	338
978	15079	323
979	15092	308
980	15105	292
981	15118	277
982	15132	261
983	15149	246
984	15180	231
985	15194	215
986	15207	200
987	15220	184
988	15233	169
989	15246	154
990	15259	138
991	15272	123
992	15288	107
993	15301	92
994	15314	76
995	15333	61
996	15350	46
997	15366	30
998	15380	15
999	15394	0
