iter	RMSE
0	20.70332271
1	20.52462234
2	20.36145451
3	20.21274106
4	20.06063728
5	19.90414825
6	19.7568142
7	19.62997623
8	19.5095125
9	19.38765298
10	19.28758632
11	19.17844959
12	19.09787161
13	19.004245
14	18.90119279
15	18.8157132
16	18.71890763
17	18.64093106
18	18.56500909
19	18.46302378
20	18.39108704
21	18.32331851
22	18.26366625
23	18.18322683
24	18.12965651
25	18.07685967
26	18.00369731
27	17.96678677
28	17.92556503
29	17.88888816
30	17.84611502
31	17.78663278
32	17.72850039
33	17.68764197
34	17.63142691
35	17.58593045
36	17.53719676
37	17.50159548
38	17.44756773
39	17.4048872
40	17.36527683
41	17.33429151
42	17.30622854
43	17.2566124
44	17.20086583
45	17.14568581
46	17.11359112
47	17.07382027
48	17.02528744
49	16.98889404
50	16.95849005
51	16.92835312
52	16.89687037
53	16.86651206
54	16.83220871
55	16.810918
56	16.78386788
57	16.75809155
58	16.73683893
59	16.70517839
60	16.67256532
61	16.63690536
62	16.59961192
63	16.58328064
64	16.55904367
65	16.5341861
66	16.50418944
67	16.47598349
68	16.45165388
69	16.43099045
70	16.41364675
71	16.38312716
72	16.35456679
73	16.33416499
74	16.31545287
75	16.2958358
76	16.26945611
77	16.25025241
78	16.22624999
79	16.21146381
80	16.19559796
81	16.1708772
82	16.16045962
83	16.13903173
84	16.10907735
85	16.08709719
86	16.0753305
87	16.05249798
88	16.02921036
89	16.00179653
90	15.98606198
91	15.9736699
92	15.95535128
93	15.93652173
94	15.91562937
95	15.89786372
96	15.87597006
97	15.85683983
98	15.83340874
99	15.8278899
100	15.81629358
101	15.80869053
102	15.79570542
103	15.78392732
104	15.76749744
105	15.75501376
106	15.74543327
107	15.72395696
108	15.71273795
109	15.70387783
110	15.69737944
111	15.68324258
112	15.67084089
113	15.66100552
114	15.64810456
115	15.62968563
116	15.6158351
117	15.59988138
118	15.59416548
119	15.57916667
120	15.56649263
121	15.55293602
122	15.53876468
123	15.53174832
124	15.5223864
125	15.5113021
126	15.50094152
127	15.49150163
128	15.4755929
129	15.46613063
130	15.45680109
131	15.4435523
132	15.43245341
133	15.41785019
134	15.40467203
135	15.39189216
136	15.37914315
137	15.36870955
138	15.36128817
139	15.35034955
140	15.33999006
141	15.32926923
142	15.31510803
143	15.31023626
144	15.29837571
145	15.2905495
146	15.28088856
147	15.2677661
148	15.25456231
149	15.23790895
150	15.23064102
151	15.21714527
152	15.20894599
153	15.19842795
154	15.18742246
155	15.17449211
156	15.16985486
157	15.15353135
158	15.14005471
159	15.13664128
160	15.13061047
161	15.11726305
162	15.10100816
163	15.08921678
164	15.08492611
165	15.07423701
166	15.05295992
167	15.04135042
168	15.03273372
169	15.01637796
170	15.00610562
171	14.99619042
172	14.98621022
173	14.97310428
174	14.96127857
175	14.95361191
176	14.93880758
177	14.91425203
178	14.90249936
179	14.89635017
180	14.88370942
181	14.86798648
182	14.85246107
183	14.84887884
184	14.84433594
185	14.8324101
186	14.81724034
187	14.80674767
188	14.79269661
189	14.78068055
190	14.76555887
191	14.76170975
192	14.74211914
193	14.73371396
194	14.71093545
195	14.70541637
196	14.69628919
197	14.69124036
198	14.68692856
199	14.66624984
200	14.65371943
201	14.64495264
202	14.62183736
203	14.60516565
204	14.59298096
205	14.58356121
206	14.57217015
207	14.56135579
208	14.5514471
209	14.54350174
210	14.53561976
211	14.5243582
212	14.50687403
213	14.49409159
214	14.48099048
215	14.4749795
216	14.46589807
217	14.45227541
218	14.43736034
219	14.42096725
220	14.40491652
221	14.39426291
222	14.38586823
223	14.38234025
224	14.37266246
225	14.36116898
226	14.33736026
227	14.32896103
228	14.32286631
229	14.31471818
230	14.30717902
231	14.29171352
232	14.27548707
233	14.25736897
234	14.25376993
235	14.24618324
236	14.23205266
237	14.22365366
238	14.21039681
239	14.20368183
240	14.19332078
241	14.18489194
242	14.1745183
243	14.16842613
244	14.15218872
245	14.14579223
246	14.14270156
247	14.13478824
248	14.12400605
249	14.1176475
250	14.10984827
251	14.10230156
252	14.08910518
253	14.08078109
254	14.0659728
255	14.05907329
256	14.05316243
257	14.03217107
258	14.01541755
259	14.00845262
260	13.99703592
261	13.9838503
262	13.96847555
263	13.96121771
264	13.94607467
265	13.93746856
266	13.9312853
267	13.92399573
268	13.90692087
269	13.90196989
270	13.88992857
271	13.88674462
272	13.8762516
273	13.87008521
274	13.86707668
275	13.86427679
276	13.85555362
277	13.85282226
278	13.85007732
279	13.83823562
280	13.83335866
